항목명,코드,코드의미 및 단위
,7427,솔로몬
,7430,바누아투
,7443,피지
,7457,조지아(그루지야공화국)
,7458,몰도바공화국
,7537,투발루
,7553,키리바시
,8015,러시아
,9000,북한
,9005,아르메니아공화국
,9010,아제르바이잔공화국
,9015,타지키스탄공화국
,9020,투르크메니스탄
,9025,예멘
,9030,아르메니아
,9035,아제르바이잔
,9040,보스니아헤르체고비나
,9045,크로아티아
,9050,에스토니아
,9055,라트비아
,9060,리투아니아
,9065,마케도니아
,9070,슬로바키아
,9075,슬로베니아
,9080,카보베르데
,9085,에리트레아
,9090,세르비아
,9094,몬테네그로
,9113,팔라우
,9126,티모르민주공화국
,9139,콩고민주공화국
,9155,무국적
,9156,체코슬로바키아
,9157,세르비아몬테네그로
,9159,마카오
,9171,벨라루스공화국
,9200,코소보
,9801,괌
,9802,그린랜드
,9803,뉴칼레도니아
,9804,니우에
,9805,레위니옹
,9806,몬트세라트
,9807,버뮤다
,9808,북마리아나군도
,9809,생피에르미클롱
,9810,지브롤터
,9811,쿠크군도
,9812,푸에토리코
,9813,프랑스령폴리네시아
,9999,미상
